Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
r,671.0,337,695.75,376,4,5,5,683.375,356.5
r,695.75,337,720.5,376,4,5,6,708.125,356.5
o,720.5,337,745.25,376,4,5,7,732.875,356.5
g,745.25,337,770.0,376,4,5,8,757.625,356.5
a,770.0,337,794.75,376,4,5,9,782.375,356.5
n,794.75,337,819.5,376,4,5,10,807.125,356.5
t,819.5,337,844.25,376,4,5,11,831.875,356.5
e,844.25,337,869.0,376,4,5,12,856.625,356.5
d,900.0,337,923.3333333333334,367,4,6,1,911.6666666666667,352.0
e,923.3333333333334,337,946.6666666666667,367,4,6,2,935.0,352.0
l,946.6666666666667,337,970.0000000000001,367,4,6,3,958.3333333333335,352.0
p,1002.0,337,1026.0,376,4,7,1,1014.0,356.5
e,1026.0,337,1050.0,376,4,7,2,1038.0,356.5
n,1050.0,337,1074.0,376,4,7,3,1062.0,356.5
s,1074.0,337,1098.0,376,4,7,4,1086.0,356.5
a,1098.0,337,1122.0,376,4,7,5,1110.0,356.5
m,1122.0,337,1146.0,376,4,7,6,1134.0,356.5
i,1146.0,337,1170.0,376,4,7,7,1158.0,356.5
e,1170.0,337,1194.0,376,4,7,8,1182.0,356.5
n,1194.0,337,1218.0,376,4,7,9,1206.0,356.5
t,1218.0,337,1242.0,376,4,7,10,1230.0,356.5
o,1242.0,337,1266.0,376,4,7,11,1254.0,356.5
.,1266.0,337,1290.0,376,4,7,12,1278.0,356.5
¿,1328.0,339,1351.5,372,4,8,1,1339.75,355.5
P,1351.5,339,1375.0,372,4,8,2,1363.25,355.5
o,1375.0,339,1398.5,372,4,8,3,1386.75,355.5
r,1398.5,339,1422.0,372,4,8,4,1410.25,355.5
q,1454.0,337,1477.3333333333333,376,4,9,1,1465.6666666666665,356.5
u,1477.3333333333333,337,1500.6666666666665,376,4,9,2,1489.0,356.5
é,1500.6666666666665,337,1523.9999999999998,376,4,9,3,1512.333333333333,356.5
s,1556.0,344,1577.5,367,4,10,1,1566.75,355.5
e,1577.5,344,1599.0,367,4,10,2,1588.25,355.5
e,43.0,421,67.66666666666667,460,5,1,1,55.333333333333336,440.5
x,67.66666666666667,421,92.33333333333334,460,5,1,2,80.0,440.5
t,92.33333333333334,421,117.00000000000001,460,5,1,3,104.66666666666669,440.5
i,117.00000000000001,421,141.66666666666669,460,5,1,4,129.33333333333334,440.5
n,141.66666666666669,421,166.33333333333334,460,5,1,5,154.0,440.5
g,166.33333333333334,421,191.0,460,5,1,6,178.66666666666669,440.5
u,191.0,421,215.66666666666666,460,5,1,7,203.33333333333331,440.5
i,215.66666666666666,421,240.33333333333331,460,5,1,8,228.0,440.5
e,240.33333333333331,421,265.0,460,5,1,9,252.66666666666666,440.5
r,265.0,421,289.6666666666667,460,5,1,10,277.33333333333337,440.5
o,289.6666666666667,421,314.33333333333337,460,5,1,11,302.0,440.5
n,314.33333333333337,421,339.00000000000006,460,5,1,12,326.66666666666674,440.5
l,373.0,421,395.3333333333333,451,5,2,1,384.16666666666663,436.0
o,395.3333333333333,421,417.66666666666663,451,5,2,2,406.5,436.0
s,417.66666666666663,421,439.99999999999994,451,5,2,3,428.83333333333326,436.0
n,472.0,421,496.6923076923077,451,5,3,1,484.3461538461538,436.0
e,496.6923076923077,421,521.3846153846154,451,5,3,2,509.03846153846155,436.0
a,521.3846153846154,421,546.0769230769231,451,5,3,3,533.7307692307693,436.0
n,546.0769230769231,421,570.7692307692308,451,5,3,4,558.4230769230769,436.0
d,570.7692307692308,421,595.4615384615386,451,5,3,5,583.1153846153848,436.0
e,595.4615384615386,421,620.1538461538463,451,5,3,6,607.8076923076924,436.0
r,620.1538461538463,421,644.846153846154,451,5,3,7,632.5000000000002,436.0
t,644.846153846154,421,669.5384615384618,451,5,3,8,657.1923076923078,436.0
a,669.5384615384618,421,694.2307692307695,451,5,3,9,681.8846153846157,436.0
l,694.2307692307695,421,718.9230769230772,451,5,3,10,706.5769230769233,436.0
e,718.9230769230772,421,743.615384615385,451,5,3,11,731.2692307692312,436.0
s,743.615384615385,421,768.3076923076927,451,5,3,12,755.9615384615388,436.0
?,768.3076923076927,421,793.0000000000005,451,5,3,13,780.6538461538466,436.0
H,824.0,421,848.2666666666667,459,5,4,1,836.1333333333333,440.0
i,848.2666666666667,421,872.5333333333333,459,5,4,2,860.4,440.0
s,872.5333333333333,421,896.8,459,5,4,3,884.6666666666666,440.0
t,896.8,421,921.0666666666666,459,5,4,4,908.9333333333333,440.0
ó,921.0666666666666,421,945.3333333333333,459,5,4,5,933.1999999999999,440.0
r,945.3333333333333,421,969.5999999999999,459,5,4,6,957.4666666666666,440.0
i,969.5999999999999,421,993.8666666666666,459,5,4,7,981.7333333333332,440.0
c,993.8666666666666,421,1018.1333333333332,459,5,4,8,1005.9999999999999,440.0
a,1018.1333333333332,421,1042.3999999999999,459,5,4,9,1030.2666666666664,440.0
m,1042.3999999999999,421,1066.6666666666665,459,5,4,10,1054.5333333333333,440.0
