Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
 ,2366,602,2404,655,2,22,0,2385.0,602.0
a,2404,602,2442,656,2,23,1,2423.0,616.5
 ,2442,602,2480,655,2,23,0,2461.0,602.0
f,2480,602,2518,655,2,24,1,2499.0,621.5
a,2518,602,2556,656,2,24,2,2537.0,616.5
c,2556,602,2594,656,2,24,3,2575.0,616.5
t,2594,602,2632,656,2,24,4,2613.0,620.5
o,2632,602,2670,656,2,24,5,2651.0,616.5
r,2670,602,2708,655,2,24,6,2689.0,616.0
e,2708,602,2746,656,2,24,7,2727.0,616.5
s,2746,602,2784,656,2,24,8,2765.0,616.5
 ,2784,602,2822,655,2,24,0,2803.0,602.0
e,2822,602,2860,656,2,25,1,2841.0,616.5
x,2860,602,2898,655,2,25,2,2879.0,615.5
t,2898,602,2936,656,2,25,3,2917.0,620.5
e,2936,602,2974,656,2,25,4,2955.0,616.5
r,2974,602,3012,655,2,25,5,2993.0,616.0
n,3012,602,3050,655,2,25,6,3031.0,616.0
o,3050,602,3088,656,2,25,7,3069.0,616.5
s,3088,602,3126,656,2,25,8,3107.0,616.5
.,3126,602,3164,656,2,25,9,3145.0,606.0
 ,3164,602,3202,655,2,25,0,3183.0,602.0
U,3202,602,3240,656,2,26,1,3221.0,620.5
n,3240,602,3278,655,2,26,2,3259.0,616.0
a,3278,602,3316,656,2,26,3,3297.0,616.5
 ,3316,602,3354,655,2,26,0,3335.0,602.0
d,3354,602,3392,656,2,27,1,3373.0,622.0
e,3392,602,3430,656,2,27,2,3411.0,616.5
l,10,728,48,781,3,28,1,29.0,747.5
a,48,728,86,782,3,28,2,67.0,742.5
s,86,728,124,782,3,28,3,105.0,742.5
 ,124,728,162,781,3,28,0,143.0,728.0
h,162,728,200,781,3,29,1,181.0,747.5
i,200,728,238,781,3,29,2,219.0,748.5
p,238,728,276,793,3,29,3,257.0,748.0
ó,276,728,314,782,3,29,4,295.0,748.5
t,314,728,352,782,3,29,5,333.0,746.5
e,352,728,390,782,3,29,6,371.0,742.5
s,390,728,428,782,3,29,7,409.0,742.5
i,428,728,466,781,3,29,8,447.0,748.5
s,466,728,504,782,3,29,9,485.0,742.5
 ,504,728,542,781,3,29,0,523.0,728.0
m,542,728,580,781,3,30,1,561.0,742.0
á,580,728,618,782,3,30,2,599.0,748.5
s,618,728,656,782,3,30,3,637.0,742.5
 ,656,728,694,781,3,30,0,675.0,728.0
d,694,728,732,782,3,31,1,713.0,748.0
i,732,728,770,781,3,31,2,751.0,748.5
s,770,728,808,782,3,31,3,789.0,742.5
c,808,728,846,782,3,31,4,827.0,742.5
u,846,728,884,782,3,31,5,865.0,742.0
t,884,728,922,782,3,31,6,903.0,746.5
i,922,728,960,781,3,31,7,941.0,748.5
d,960,728,998,782,3,31,8,979.0,748.0
a,998,728,1036,782,3,31,9,1017.0,742.5
s,1036,728,1074,782,3,31,10,1055.0,742.5
 ,1074,728,1112,781,3,31,0,1093.0,728.0
s,1112,728,1150,782,3,32,1,1131.0,742.5
u,1150,728,1188,782,3,32,2,1169.0,742.0
g,1188,728,1226,793,3,32,3,1207.0,748.0
i,1226,728,1264,781,3,32,4,1245.0,748.5
e,1264,728,1302,782,3,32,5,1283.0,742.5
r,1302,728,1340,781,3,32,6,1321.0,742.0
e,1340,728,1378,782,3,32,7,1359.0,742.5
 ,1378,728,1416,781,3,32,0,1397.0,728.0
q,1416,728,1454,793,3,33,1,1435.0,748.0
u,1454,728,1492,782,3,33,2,1473.0,742.0
e,1492,728,1530,782,3,33,3,1511.0,742.5
 ,1530,728,1568,781,3,33,0,1549.0,728.0
l,1568,728,1606,781,3,34,1,1587.0,747.5
o,1606,728,1644,782,3,34,2,1625.0,742.5
s,1644,728,1682,782,3,34,3,1663.0,742.5
 ,1682,728,1720,781,3,34,0,1701.0,728.0
h,1720,728,1758,781,3,35,1,1739.0,747.5
u,1758,728,1796,782,3,35,2,1777.0,742.0
m,1796,728,1834,781,3,35,3,1815.0,742.0
a,1834,728,1872,782,3,35,4,1853.0,742.5
n,1872,728,1910,781,3,35,5,1891.0,742.0
o,1910,728,1948,782,3,35,6,1929.0,742.5
s,1948,728,1986,782,3,35,7,1967.0,742.5
 ,1986,728,2024,781,3,35,0,2005.0,728.0
m,2024,728,2062,781,3,36,1,2043.0,742.0
o,2062,728,2100,782,3,36,2,2081.0,742.5
d,2100,728,2138,782,3,36,3,2119.0,748.0
e,2138,728,2176,782,3,36,4,2157.0,742.5
r,2176,728,2214,781,3,36,5,2195.0,742.0
n,2214,728,2252,781,3,36,6,2233.0,742.0
o,2252,728,2290,782,3,36,7,2271.0,742.5
s,2290,728,2328,782,3,36,8,2309.0,742.5
",",2328,728,2366,790,3,36,9,2347.0,737.5
 ,2366,728,2404,781,3,36,0,2385.0,728.0
a,2404,728,2442,782,3,37,1,2423.0,742.5
l,2442,728,2480,781,3,37,2,2461.0,747.5
 ,2480,728,2518,781,3,37,0,2499.0,728.0
e,2518,728,2556,782,3,38,1,2537.0,742.5
m,2556,728,2594,781,3,38,2,2575.0,742.0
i,2594,728,2632,781,3,38,3,2613.0,748.5
g,2632,728,2670,793,3,38,4,2651.0,748.0
r,2670,728,2708,781,3,38,5,2689.0,742.0
a,2708,728,2746,782,3,38,6,2727.0,742.5
r,2746,728,2784,781,3,38,7,2765.0,742.0
 ,2784,728,2822,781,3,38,0,2803.0,728.0
d,2822,728,2860,782,3,39,1,2841.0,748.0
e,2860,728,2898,782,3,39,2,2879.0,742.5
s,2898,728,2936,782,3,39,3,2917.0,742.5
d,2936,728,2974,782,3,39,4,2955.0,748.0
e,2974,728,3012,782,3,39,5,2993.0,742.5
 ,3012,728,3050,781,3,39,0,3031.0,728.0
Á,3050,728,3088,781,3,40,1,3069.0,752.5
