x,y,start,stop,subject,trial_id
304,481,38070,38146,2104,30
594,448,38630,38690,2104,30
694,436,38750,38814,2104,30
944,424,38850,39014,2104,30
1162,440,39094,39210,2104,30
1270,442,39238,39406,2104,30
1501,426,39438,39530,2104,30
1635,421,39626,39706,2104,30
1482,444,39886,39954,2104,30
1442,447,39981,40125,2104,30
1721,446,40166,40297,2104,30
342,530,40417,40529,2104,30
775,476,40601,40725,2104,30
1481,478,40805,41053,2104,30
1550,471,41085,41217,2104,30
1705,448,41261,41341,2104,30
436,527,41437,41629,2104,30
344,504,41653,41709,2104,30
344,230,41793,42065,2104,30
262,201,1,161,2312,30
334,158,193,329,2312,30
714,146,417,565,2312,30
629,222,621,809,2312,30
860,211,849,1584,2312,30
394,173,1976,2052,2312,30
1252,572,2140,2332,2312,30
1505,568,2372,2552,2312,30
1410,568,2576,2788,2312,30
1178,636,2856,2916,2312,30
1423,804,3184,3260,2312,30
580,356,4156,4296,2312,30
712,319,4732,4836,2312,30
543,273,4868,5056,2312,30
555,301,5072,5216,2312,30
534,329,5667,5975,2312,30
723,307,6007,6399,2312,30
802,320,6427,6651,2312,30
956,331,6683,7151,2312,30
1030,331,7175,7359,2312,30
1114,335,7387,7715,2312,30
1302,360,7759,8043,2312,30
1457,361,8075,8279,2312,30
1303,342,8307,8547,2312,30
1474,343,8583,8850,2312,30
1546,325,8882,9150,2312,30
671,317,9246,9374,2312,30
354,274,9450,9530,2312,30
377,266,9550,9966,2312,30
538,244,10538,11326,2312,30
741,270,11362,11554,2312,30
575,250,11586,12018,2312,30
772,279,12058,12322,2312,30
972,300,12366,12542,2312,30
616,191,12606,12738,2312,30
306,172,12794,13042,2312,30
273,265,13077,13233,2312,30
632,259,13281,13461,2312,30
534,251,13489,13697,2312,30
750,280,13729,13953,2312,30
605,273,13985,14141,2312,30
979,331,14193,14697,2312,30
1097,332,14729,14925,2312,30
1149,336,14949,15321,2312,30
1469,322,15617,15761,2312,30
1518,363,15905,16045,2312,30
494,317,16176,16309,2312,30
313,291,16345,16521,2312,30
422,317,16572,16741,2312,30
321,335,16848,16992,2312,30
293,346,17012,17136,2312,30
292,350,17164,17244,2312,30
315,350,17348,17504,2312,30
567,332,17584,17752,2312,30
698,329,17780,17952,2312,30
665,368,17976,18544,2312,30
632,382,18696,18840,2312,30
730,372,18876,19036,2312,30
872,356,19072,19268,2312,30
826,355,19292,19440,2312,30
929,388,19480,20020,2312,30
989,400,20044,20284,2312,30
1095,395,20315,20587,2312,30
1188,398,20615,20879,2312,30
1365,399,20915,21131,2312,30
1270,392,21159,21307,2312,30
1425,401,21335,21587,2312,30
1564,392,21619,21875,2312,30
1668,387,21947,22151,2312,30
586,366,22271,22359,2312,30
309,385,22403,22527,2312,30
320,390,22595,22663,2312,30
498,367,22803,23007,2312,30
666,380,23059,23235,2312,30
554,394,23267,23499,2312,30
672,412,23531,23787,2312,30
782,423,23811,24018,2312,30
944,434,24054,24262,2312,30
877,429,24286,24514,2312,30
1032,459,24546,24734,2312,30
1120,443,24754,25074,2312,30
1211,441,25102,25282,2312,30
1282,464,25310,25450,2312,30
1036,448,25494,25710,2312,30
985,446,25734,25954,2312,30
967,443,25978,26922,2312,30
1179,450,26950,27530,2312,30
1214,444,27554,27730,2312,30
1332,441,27762,27930,2312,30
1450,433,27966,28261,2312,30
1613,452,28309,28517,2312,30
1665,467,28537,28629,2312,30
492,435,28777,28925,2312,30
292,420,29065,29157,2312,30
425,411,29353,29737,2312,30
313,411,29769,29957,2312,30
555,417,29997,30213,2312,30
681,428,30241,30413,2312,30
898,466,30449,30725,2312,30
1064,465,30761,31129,2312,30
1223,489,31165,31332,2312,30
1372,480,31369,31700,2312,30
1303,496,31725,32000,2312,30
1387,487,32029,32320,2312,30
1331,476,32344,32768,2312,30
1378,487,32796,33292,2312,30
1445,492,33316,33684,2312,30
1403,497,33704,33956,2312,30
1415,491,33972,34104,2312,30
1528,494,34140,34400,2312,30
1610,494,34424,34696,2312,30
381,506,34864,35012,2312,30
296,486,35040,35340,2312,30
460,488,35380,35604,2312,30
723,505,35647,35823,2312,30
809,454,35863,36048,2312,30
936,468,36075,36279,2312,30
1349,492,36647,36835,2312,30
1507,485,36875,37175,2312,30
1637,455,37215,37335,2312,30
404,505,37615,37839,2312,30
505,496,37871,38079,2312,30
670,484,38131,38339,2312,30
557,483,38363,38799,2312,30
704,493,38835,39079,2312,30
1018,529,39362,39806,2312,30
1339,535,40118,40338,2312,30
1506,528,40378,40618,2312,30
374,543,40806,40902,2312,30
273,530,40934,41274,2312,30
406,490,41322,41694,2312,30
550,461,41738,41922,2312,30
627,410,41946,42134,2312,30
375,483,42186,42306,2312,30
273,501,42334,42486,2312,30
1232,535,42570,42706,2312,30
1480,503,42750,43030,2312,30
1307,392,43066,43254,2312,30
1330,331,43278,43481,2312,30
1550,361,43521,43669,2312,30
1642,356,43693,43853,2312,30
340,393,43953,44117,2312,30
243,379,44141,44201,2312,30
391,431,44325,44509,2312,30
636,470,44613,44805,2312,30
735,461,45077,45297,2312,30
920,480,45665,45729,2312,30
1519,500,46385,46565,2312,30
1577,518,46593,46760,2312,30
460,518,46872,46996,2312,30
281,496,47048,47208,2312,30
350,463,47316,47544,2312,30
287,501,47580,47760,2312,30
701,495,48064,48312,2312,30
922,533,48352,48548,2312,30
1057,538,48580,48776,2312,30
983,535,48804,48972,2312,30
1262,551,49016,49240,2312,30
1355,553,49264,49420,2312,30
1501,549,49448,49564,2312,30
439,555,49692,49804,2312,30
311,557,49832,50396,2312,30
444,348,2,58,204,30
323,312,94,146,204,30
638,328,302,406,204,30
670,313,450,546,204,30
832,294,654,770,204,30
670,271,818,962,204,30
834,282,1158,1226,204,30
829,269,1298,1354,204,30
678,275,1410,1466,204,30
683,258,1482,1586,204,30
666,270,1618,1686,204,30
805,247,1726,2006,204,30
665,268,2058,2114,204,30
665,251,2130,2218,204,30
807,252,2378,2562,204,30
1021,234,2766,2858,204,30
1024,219,2898,2958,204,30
1194,218,3318,3398,204,30
1147,212,3422,3538,204,30
246,296,3805,3917,204,30
