Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	AOI Name
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	38	10817.2	11021.0	1738679831249.0	1738679831452.9	203.9	211.9	419.7	3.4	3.4	3.4	60.2	33.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	39	11069.1	11273.0	1738679831500.9	1738679831704.8	203.9	326.3	431.4	3.4	3.4	3.4	43.0	32.4	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	40	11309.0	11560.9	1738679831740.9	1738679831992.8	251.9	477.0	449.7	3.4	3.4	3.4	32.3	67.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	41	11664.8	12320.7	1738679832096.6	1738679832752.6	655.9	549.2	435.4	3.4	3.4	3.4	68.2	32.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	42	12352.7	12568.7	1738679832784.6	1738679833000.5	216.0	520.7	433.6	3.4	3.4	3.4	29.4	40.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	43	12628.8	12904.5	1738679833060.6	1738679833336.4	275.8	607.6	429.4	3.5	3.5	3.5	23.0	46.6	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	44	12932.6	13176.5	1738679833364.4	1738679833608.3	243.9	699.2	432.6	3.5	3.5	3.5	18.8	16.8	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	45	13204.5	13480.5	1738679833636.4	1738679833912.4	276.0	770.7	437.9	3.5	3.5	3.5	20.1	40.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	46	13628.4	13744.3	1738679834060.3	1738679834176.2	116.0	850.3	418.7	3.5	3.5	3.5	29.1	24.0	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	47	13780.2	14008.4	1738679834212.1	1738679834440.3	228.2	948.4	404.0	3.5	3.5	3.5	15.3	14.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	48	14104.3	14572.3	1738679834536.1	1738679835004.1	468.0	1049.5	436.4	3.3	3.3	3.3	19.3	40.7	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	49	14652.1	15584.0	1738679835084.0	1738679836015.9	931.9	1178.7	398.7	3.4	3.4	3.4	58.8	40.6	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	50	15667.8	15843.8	1738679836099.7	1738679836275.6	175.9	1242.1	389.8	3.4	3.4	3.4	15.2	5.8	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	51	15867.7	16571.6	1738679836299.5	1738679837003.4	703.9	1205.2	398.4	3.4	3.4	3.4	51.3	64.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	52	16635.6	17055.4	1738679837067.4	1738679837487.3	419.8	1191.5	427.5	3.4	3.4	3.4	20.4	26.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	53	17095.6	17551.4	1738679837527.4	1738679837983.3	455.8	1281.2	386.8	3.5	3.5	3.5	25.9	47.2	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	54	17599.5	17879.2	1738679838031.3	1738679838311.1	279.7	1355.7	381.2	3.4	3.4	3.4	12.7	20.0	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	55	17907.3	18207.2	1738679838339.1	1738679838639.0	299.9	1425.7	385.4	3.4	3.4	3.4	24.0	18.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	56	18231.2	18459.2	1738679838663.0	1738679838891.1	228.0	1496.8	380.8	3.5	3.5	3.5	24.2	23.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	57	18623.0	18746.9	1738679839054.9	1738679839178.8	123.9	1623.4	382.8	3.4	3.4	3.4	22.1	17.6	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	58	19190.9	19282.8	1738679839622.8	1738679839714.7	91.9	192.2	473.0	3.5	3.5	3.5	13.8	27.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	59	19310.8	19554.8	1738679839742.7	1738679839986.7	244.0	316.0	475.1	3.4	3.4	3.4	45.0	42.0	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	60	19634.8	19934.7	1738679840066.7	1738679840366.6	299.9	530.2	478.0	3.4	3.4	3.4	23.9	20.0	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	61	20186.6	20350.6	1738679840618.4	1738679840782.5	164.1	765.7	508.3	3.4	3.4	3.4	11.3	37.2	White Space
