Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	10	2611.3	2723.2	1738679823043.1	1738679823155.1	111.9	1132.1	111.3	3.5	3.5	3.5	24.7	62.3	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	16	2723.2	2787.2	1738679823155.1	1738679823219.0	64.0	-	-	-	-	-	-	-	1123.0	114.4	1130.3	235.1	2.7	1672.6	3294.6	-2529.0	41.7	88.0	37.5	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	11	2787.2	3023.1	1738679823219.0	1738679823455.0	235.9	1126.8	251.7	3.1	3.1	3.1	20.8	124.6	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	12	3091.2	3195.0	1738679823523.1	1738679823626.9	103.8	1210.8	112.1	3.3	3.3	3.3	37.5	49.2	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	17	3195.0	3235.0	1738679823626.9	1738679823666.9	40.0	-	-	-	-	-	-	-	1212.5	116.4	1225.6	88.2	1.9	2432.8	2983.1	-3283.9	48.6	85.4	30.0	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Blink	Right	1	3375.1	3619.2	1738679823806.9	1738679824051.0	244.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	18	3619.2	3655.0	1738679824051.0	1738679824086.9	35.8	-	-	-	-	-	-	-	235.8	273.8	261.1	319.0	1.3	1673.0	1881.4	-3883.9	35.8	61.9	66.4	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	13	3655.0	3986.9	1738679824086.9	1738679824418.7	331.9	244.0	314.6	3.5	3.5	3.5	54.4	53.2	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	14	4006.9	4170.9	1738679824438.8	1738679824602.8	164.0	318.0	305.5	3.4	3.4	3.4	51.7	29.6	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	19	4170.9	4194.9	1738679824602.8	1738679824626.7	24.0	-	-	-	-	-	-	-	340.3	312.5	478.6	304.7	2.4	6566.3	9156.0	-8760.6	99.1	205.0	49.9	-	-	-	-	-	-	-	-	-	-
