Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	12	3339.1	3571.2	1714650018526.0	1714650018758.0	232.1	1362.8	121.1	3.0	3.0	3.0	29.0	12.2	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	14	3571.2	3607.1	1714650018758.0	1714650018793.9	35.9	-	-	-	-	-	-	-	1367.7	127.1	1485.8	118.5	2.2	3865.6	5596.8	-5336.7	62.1	127.8	44.8	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	13	3607.1	3795.1	1714650018793.9	1714650018981.9	188.0	1505.0	91.4	2.9	2.9	2.9	29.9	42.8	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	15	3795.1	3819.1	1714650018981.9	1714650019005.9	24.0	-	-	-	-	-	-	-	1510.5	97.3	1566.0	100.9	1.0	2058.0	2800.9	-2869.1	42.1	73.2	50.0	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	14	3819.1	4230.9	1714650019005.9	1714650019417.8	411.9	1546.1	98.9	2.9	2.9	2.9	58.7	27.9	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	16	4230.9	4258.9	1714650019417.8	1714650019445.7	28.0	-	-	-	-	-	-	-	1528.7	101.1	1609.4	95.8	1.4	3231.3	4809.3	-4047.4	48.3	100.8	57.4	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	15	4258.9	4478.8	1714650019445.7	1714650019665.7	219.9	1600.7	100.6	3.1	3.1	3.1	26.6	15.8	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Blink	Right	1	4478.8	4659.0	1714650019665.7	1714650019845.8	180.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	16	4659.0	4798.7	1714650019845.8	1714650019985.6	139.8	365.3	88.3	3.3	3.3	3.3	21.9	19.7	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	17	4798.7	4826.8	1714650019985.6	1714650020013.6	28.0	-	-	-	-	-	-	-	373.9	88.3	287.4	122.8	1.7	4008.6	5497.6	-5423.8	59.5	121.4	43.2	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	17	4826.8	4910.8	1714650020013.6	1714650020097.6	84.1	298.3	134.4	3.3	3.3	3.3	26.7	26.6	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	18	4946.7	5042.8	1714650020133.6	1714650020229.7	96.1	304.0	148.4	3.3	3.3	3.3	26.4	19.6	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	18	5042.8	5082.7	1714650020229.7	1714650020269.5	39.9	-	-	-	-	-	-	-	296.9	138.9	465.1	141.4	3.0	5021.3	7336.8	-6771.8	76.4	159.0	39.7	-	-	-	-	-	-	-	-	-	-
