Name,char_xmin,char_ymin,char_xmax,char_ymax,width,height,paragraph,section,word,letter,region,assigned_line,char,char_x_center,char_y_center,trial_id
__re_p1_s1_w1_c1_r0_l3_s,813,289,837,330,24,41,1,1,1,1,0,3,s,825,309.5,1
__re_p1_s1_w1_c2_r0_l3_u,837,289,863,330,26,41,1,1,1,2,0,3,u,850,309.5,1
__re_p1_s1_w1_c1_r0_l3_b,863,289,889,330,26,41,1,1,1,1,0,3,b,876,309.5,1
__re_p1_s1_w1_c2_r0_l3_r,889,289,900,330,11,41,1,1,1,2,0,3,r,894.5,309.5,1
__re_p1_s1_w1_c3_r0_l3_i,901,289,908,330,7,41,1,1,1,3,0,3,i,904.5,309.5,1
__re_p1_s1_w1_c4_r0_l3_l,909,289,916,330,7,41,1,1,1,4,0,3,l,912.5,309.5,1
__re_p1_s1_w1_c5_r0_l3_l,917,289,924,330,7,41,1,1,1,5,0,3,l,920.5,309.5,1
__re_p1_s1_w1_c6_r0_l3_o,925,289,950,330,25,41,1,1,1,6,0,3,o,937.5,309.5,1
__re_p1_s1_w1_c1_r0_l3_l,951,289,963,330,12,41,1,1,1,1,0,3,l,957,309.5,1
__re_p1_s1_w1_c2_r0_l3_o,964,289,990,330,26,41,1,1,1,2,0,3,o,977,309.5,1
__re_p1_s1_w1_c1_r0_l3_q,990,289,1016,330,26,41,1,1,1,1,0,3,q,1003,309.5,1
__re_p1_s1_w1_c2_r0_l3_u,1016,289,1036,330,20,41,1,1,1,2,0,3,u,1026,309.5,1
__re_p1_s1_w1_c3_r0_l3_e,1037,289,1062,330,25,41,1,1,1,3,0,3,e,1049.5,309.5,1
__re_p1_s1_w1_c1_r0_l3_s,1063,289,1086,330,23,41,1,1,1,1,0,3,s,1074.5,309.5,1
__re_p1_s1_w1_c2_r0_l3_e,1086,289,1112,330,26,41,1,1,1,2,0,3,e,1099,309.5,1
__re_p1_s1_w1_c1_r0_l3_e,1112,289,1138,330,26,41,1,1,1,1,0,3,e,1125,309.5,1
__re_p1_s1_w1_c2_r0_l3_x,1138,289,1156,330,18,41,1,1,1,2,0,3,x,1147,309.5,1
__re_p1_s1_w1_c3_r0_l3_t,1156,289,1166,330,10,41,1,1,1,3,0,3,t,1161,309.5,1
__re_p1_s1_w1_c4_r0_l3_e,1166,289,1186,330,20,41,1,1,1,4,0,3,e,1176,309.5,1
__re_p1_s1_w1_c5_r0_l3_n,1187,289,1207,330,20,41,1,1,1,5,0,3,n,1197,309.5,1
__re_p1_s1_w1_c6_r0_l3_d,1207,289,1227,330,20,41,1,1,1,6,0,3,d,1217,309.5,1
__re_p1_s1_w1_c7_r0_l3_í,1227,289,1237,330,10,41,1,1,1,7,0,3,í,1232,309.5,1
__re_p1_s1_w1_c8_r0_l3_a,1237,289,1263,330,26,41,1,1,1,8,0,3,a,1250,309.5,1
__re_p1_s1_w1_c1_r0_l3_p,1263,289,1289,330,26,41,1,1,1,1,0,3,p,1276,309.5,1
