Trial;Trial Start Raw Time [ms];Stimulus;Export Start Trial Time [ms];Export End Trial Time [ms];Participant;Color;Tracking Ratio [%];Category Group;Category;Eye L/R;Index;Event Start Trial Time [ms];Event End Trial Time [ms];Event Start Raw Time [ms];Event End Raw Time [ms];Event Duration [ms];Fixation Position X [px];Fixation Position Y [px];Fixation Average Pupil Size X [px];Fixation Average Pupil Size Y [px];Fixation Average Pupil Diameter [mm];Fixation Dispersion X [px];Fixation Dispersion Y [px];AOI Name
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;46;15891.8;16051.7;1739439994049.5;1739439994209.4;159.9;171.5;312.6;3.4;3.4;3.4;44.9;49.0;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;47;16079.8;16367.8;1739439994237.4;1739439994525.4;288.0;233.7;317.9;3.4;3.4;3.4;45.3;47.9;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;48;16483.7;16743.8;1739439994641.4;1739439994901.4;260.0;507.4;318.3;3.4;3.4;3.4;41.8;29.2;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;49;16783.7;17191.7;1739439994941.4;1739439995349.3;407.9;230.4;313.7;3.6;3.6;3.6;33.0;29.9;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;50;17327.5;17483.4;1739439995485.1;1739439995641.0;155.9;1386.5;312.5;3.6;3.6;3.6;30.4;25.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;51;17499.4;17719.3;1739439995657.0;1739439995876.9;220.0;1389.5;353.4;3.6;3.6;3.6;29.1;49.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;52;17767.4;17983.4;1739439995925.0;1739439996141.0;216.0;1509.3;306.8;3.5;3.5;3.5;54.6;44.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;53;18015.4;18147.2;1739439996173.0;1739439996304.8;131.8;1429.5;392.5;3.3;3.3;3.3;17.6;19.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;54;18203.2;18323.3;1739439996360.8;1739439996480.9;120.0;1688.7;271.7;3.4;3.4;3.4;47.8;21.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;55;18423.1;18603.1;1739439996580.7;1739439996760.7;179.9;398.4;320.2;3.7;3.7;3.7;24.1;23.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;56;18639.1;18843.1;1739439996796.7;1739439997000.7;203.9;484.1;318.3;3.6;3.6;3.6;29.2;23.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;57;18875.0;19242.9;1739439997032.6;1739439997400.5;367.9;651.5;347.6;3.6;3.6;3.6;35.8;47.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;58;19270.9;19534.9;1739439997428.5;1739439997692.5;264.0;799.6;372.3;3.6;3.6;3.6;33.5;45.0;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;59;19562.9;19878.7;1739439997720.5;1739439998036.3;315.8;952.5;372.7;3.6;3.6;3.6;30.2;81.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;60;20002.8;20122.8;1739439998160.4;1739439998280.4;120.0;1125.2;440.1;3.3;3.3;3.3;33.4;43.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;61;20250.6;20434.6;1739439998408.2;1739439998592.2;184.0;1347.0;361.9;3.6;3.6;3.6;39.3;38.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;62;20482.6;20854.5;1739439998640.2;1739439999012.1;371.9;1530.9;303.9;3.6;3.6;3.6;41.1;56.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;63;20958.8;21234.4;1739439999116.4;1739439999392.0;275.6;278.6;417.3;3.6;3.6;3.6;25.1;35.0;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;64;21290.3;21762.2;1739439999447.9;1739439999919.9;471.9;484.8;401.0;3.5;3.5;3.5;29.9;71.2;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;65;21806.2;22162.2;1739439999963.8;1739440000319.8;356.0;684.7;413.4;3.5;3.5;3.5;29.8;44.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;66;22186.2;22490.1;1739440000343.8;1739440000647.7;303.9;760.4;427.9;3.5;3.5;3.5;16.2;60.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;67;22518.2;22794.1;1739440000675.8;1739440000951.7;275.9;886.1;422.9;3.6;3.6;3.6;18.3;49.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;68;22838.0;23069.9;1739440000995.6;1739440001227.5;231.9;988.1;422.9;3.6;3.6;3.6;31.9;26.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;69;23102.0;23481.9;1739440001259.6;1739440001639.5;379.9;1146.9;409.3;3.6;3.6;3.6;56.4;55.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;70;23517.9;23677.8;1739440001675.5;1739440001835.4;159.8;1401.5;416.8;3.6;3.6;3.6;32.7;39.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;71;23701.8;23869.7;1739440001859.4;1739440002027.3;167.9;1353.2;399.3;3.6;3.6;3.6;15.3;19.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;72;23913.7;24185.7;1739440002071.3;1739440002343.3;272.0;1486.6;428.4;3.6;3.6;3.6;29.4;23.6;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;73;24277.6;24605.5;1739440002435.2;1739440002763.2;327.9;282.3;479.4;3.5;3.5;3.5;54.6;45.7;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;74;24681.5;24957.5;1739440002839.1;1739440003115.1;276.0;522.8;483.0;3.5;3.5;3.5;30.9;32.9;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;75;24989.5;25317.5;1739440003147.1;1739440003475.2;328.1;742.4;484.0;3.4;3.4;3.4;32.2;20.0;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;76;25345.4;25465.2;1739440003503.0;1739440003622.8;119.8;833.1;484.4;3.4;3.4;3.4;13.1;26.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;77;25497.3;25753.3;1739440003654.9;1739440003911.0;256.0;979.4;485.2;3.4;3.4;3.4;28.7;51.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;78;25825.2;26041.1;1739440003982.8;1739440004198.7;216.0;1125.2;484.7;3.5;3.5;3.5;51.0;44.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;79;26069.1;26301.1;1739440004226.7;1739440004458.7;232.0;1226.0;477.5;3.6;3.6;3.6;30.9;21.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;80;26337.2;26676.9;1739440004494.8;1739440004834.6;339.8;1409.7;470.3;3.5;3.5;3.5;44.8;33.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;81;26705.0;26992.8;1739440004862.6;1739440005150.4;287.9;1555.4;455.0;3.5;3.5;3.5;24.2;24.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;82;27272.9;27580.7;1739440005430.5;1739440005738.3;307.8;194.3;505.0;3.5;3.5;3.5;36.2;35.9;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;83;27612.7;28092.7;1739440005770.3;1739440006250.3;480.1;400.4;524.1;3.4;3.4;3.4;58.8;27.9;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;84;28132.6;28440.5;1739440006290.3;1739440006598.2;307.9;651.1;544.6;3.4;3.4;3.4;39.2;30.0;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;85;28480.7;28836.4;1739440006638.3;1739440006994.0;355.7;894.3;535.7;3.4;3.4;3.4;29.2;40.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;86;28924.4;29128.5;1739440007082.0;1739440007286.1;204.0;1004.0;533.4;3.5;3.5;3.5;13.9;14.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;87;29168.4;29328.3;1739440007326.0;1739440007485.9;159.9;1211.7;548.5;3.4;3.4;3.4;46.4;27.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;88;29380.3;29472.2;1739440007537.9;1739440007629.8;91.9;1174.8;537.7;3.4;3.4;3.4;12.7;19.9;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;89;29604.2;29764.1;1739440007761.8;1739440007921.7;159.9;1323.7;532.2;3.4;3.4;3.4;65.3;33.2;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;90;29800.2;30036.1;1739440007957.8;1739440008193.7;235.9;1520.2;537.6;3.4;3.4;3.4;22.8;21.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;91;30064.0;30340.0;1739440008221.7;1739440008497.6;275.9;1638.0;513.7;3.4;3.4;3.4;20.3;11.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;92;30448.0;30795.9;1739440008605.6;1739440008953.5;348.0;244.0;573.4;3.5;3.5;3.5;36.1;36.6;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;93;30831.9;31375.7;1739440008989.5;1739440009533.4;543.9;486.5;589.0;3.4;3.4;3.4;40.3;52.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;94;31411.8;31655.7;1739440009569.4;1739440009813.3;243.9;268.5;565.5;3.4;3.4;3.4;32.8;31.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;95;31679.7;31995.6;1739440009837.3;1739440010153.2;315.9;219.3;562.5;3.5;3.5;3.5;29.7;21.7;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;96;32027.5;32351.5;1739440010185.2;1739440010509.1;323.9;481.0;591.4;3.4;3.4;3.4;39.3;45.4;White Space
